codigo_dane,nombre_entidad,anio,poblacion_urbana,poblacion_rural,poblacion_total,pib,valor_agregado_bruto,deuda_publica,ingresos totales,ingresos corrientes,ingresos tributarios,ingresos no tributarios,gastos totales,gastos corrientes,gastos de funcionamiento,desahorro/ahorro corriente,ingresos de capital,regalías,gastos de capital,déficit o superávit total,icm,pcc,gpi,eis,cti,seg,sos,longitud,latitud
86,PUTUMAYO,2020,182367.0,179795.0,362162.0,3360562464365.1523,3226035850293.072,,524713000000.0,85419000000.0,43046000000.0,12072000000.0,530792000000.0,52536000000.0,52536000000.0,32882000000.0,439294000000.0,68531000000.0,478256000000.0,-6079000000.0,38.91207883851249,29.8797779083252,35.23226547241211,45.71586990356445,23.0478630065918,50.82409286499023,48.77260208129883,-75514061833.0,"0,3673031"
86,PUTUMAYO,2021,186224.0,182199.0,368423.0,4278981351540.0054,4114719352037.2803,,524835000000.0,93482000000.0,47514000000.0,19524000000.0,489377000000.0,58272000000.0,58272000000.0,35210000000.0,431353000000.0,46398000000.0,431105000000.0,35458000000.0,38.18869342549417,30.27380180358887,32.66605758666992,49.04404067993164,19.9383716583252,50.98807525634766,46.22181701660156,-75514061833.0,"0,3673031"
86,PUTUMAYO,2022,189953.0,184407.0,374360.0,5683421964938.756,5466630424464.054,,465999000000.0,96830000000.0,53482000000.0,21122000000.0,510043000000.0,66166000000.0,66166000000.0,30664000000.0,369169000000.0,0.0,443877000000.0,-44045000000.0,37.82603075524705,30.2220573425293,34.35556030273438,49.68254089355469,18.29195594787598,47.18170166015625,47.22236633300781,-75514061833.0,"0,3673031"
86,PUTUMAYO,2023,193519.0,186402.0,379921.0,5833510243993.28,5602133688747.157,4860000000.0,532641000000.0,117813000000.0,59075000000.0,28025000000.0,572801000000.0,76014000000.0,75257000000.0,41799000000.0,414828000000.0,0.0,496786000000.0,-40159000000.0,39.58902685446544,30.42953300476074,33.39093017578125,52.04752731323242,22.13706207275391,47.51699447631836,52.01211547851562,-75514061833.0,"0,3673031"
86,PUTUMAYO,2024,197050.0,188350.0,385400.0,6091238784725.085,5848845815369.389,4320000000.0,670137000000.0,129625000000.0,56749000000.0,33670000000.0,667824000000.0,86840000000.0,86135000000.0,42785000000.0,540512000000.0,0.0,580984000000.0,2313000000.0,41.26287909067166,30.26300621032715,32.48022079467773,58.72856903076172,24.98871231079102,49.32597732543945,51.79079437255859,-75514061833.0,"0,3673031"
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2018,44900.0,16384.0,61284.0,1531114062208.6187,1411107639720.7732,,384952000000.0,261842000000.0,48389000000.0,110092000000.0,318778000000.0,146408000000.0,146408000000.0,115434000000.0,123111000000.0,38820000000.0,172370000000.0,66174000000.0,36.37689284433685,40.17605209350586,30.25201416015625,52.14474487304688,27.09080696105957,6.26731538772583,62.33042144775391,-81717623824.0,12543115116
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2019,45050.0,16629.0,61679.0,1639462054013.009,1510360800724.486,,426390000000.0,305114000000.0,57774000000.0,112200000000.0,387696000000.0,157407000000.0,157407000000.0,147707000000.0,121276000000.0,0.0,230289000000.0,38694000000.0,37.40995527441227,40.46285629272461,32.24535751342773,53.933349609375,24.64544868469238,4.531692504882812,68.64102935791016,-81717623824.0,12543115116
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2020,45276.0,16851.0,62127.0,1350229006377.1418,1236266165461.886,,385314000000.0,188497000000.0,41380000000.0,43587000000.0,342609000000.0,152423000000.0,152423000000.0,36074000000.0,196816000000.0,49897000000.0,190186000000.0,42704000000.0,33.38895046132896,38.04534530639648,19.15486907958984,51.31693267822266,28.44086074829102,3.253091335296631,60.12260055541992,-81717623824.0,12543115116
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2021,45757.0,16816.0,62573.0,1701135299994.258,1563432329862.0176,,504215000000.0,308084000000.0,49906000000.0,138996000000.0,388839000000.0,189289000000.0,189289000000.0,118795000000.0,196130000000.0,5652000000.0,199549000000.0,115376000000.0,39.8020543234022,41.02235412597656,24.76971817016602,62.35506439208984,29.53536796569824,14.95753002166748,66.17229461669922,-81717623824.0,12543115116
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",2022,46123.0,16678.0,62801.0,2113062403251.0742,1928774798556.3867,,463777000000.0,236180000000.0,60645000000.0,164407000000.0,587761000000.0,235833000000.0,235833000000.0,347000000.0,227597000000.0,0.0,351927000000.0,-123983000000.0,41.4656301567726,41.44874954223633,25.35549736022949,60.66263198852539,47.46117401123047,15.14820957183838,58.7175178527832,-81717623824.0,12543115116
