nombre_entidad;anio;Instituciones;Infraestructura;Adopción TIC;Sostenibilidad ambiental;Salud;Educación básica y media;Educación superior y capacitación;Entorno para los negocios;Mercado laboral;Sistema financiero;Tamaño del mercado;Sofisticación y diversificación;Innovación
CAUCA;2020;4.493954842026995;4.7190330675856975;2.826381419447169;6.040974644907093;6.296171368521261;5.146732479302404;3.2265569777248615;3.5988112463291544;4.403812589556173;1.2813888605378143;5.233121979461007;8.597109612789659;2.172236992533984
CESAR;2020;4.797600237785777;5.241788061575781;2.887994869052499;4.845841718204873;6.819298561065353;5.572638323040676;2.9253894746407823;4.96702151400928;5.1522508702920335;1.2045572548615864;6.3032604613041165;4.918860464138919;1.8872153313450988
CHOCÓ;2020;4.272033972889725;4.318279695774677;1.476620558385201;8.0306177146623;4.390656968291641;3.2478056650297504;1.0474104047203154;3.865776928578229;4.652501468876702;0.795327827406121;3.97371204637611;3.164578124414689;2.5160060148254426
CÓRDOBA;2020;4.372259752203487;5.296298585750487;2.159959565358704;5.630476135079155;5.942878808733015;5.917544829303422;3.1497803698858933;4.038375816480477;4.8311412008796815;1.333100682139039;5.292609646935265;5.3000670476668255;2.111650412740521
CUNDINAMARCA;2020;6.178982237795693;8.347862575609785;3.6910981265112124;5.535312479169318;6.581166644824336;7.359794089741822;3.786224192381866;6.659123278115238;6.884137894665587;1.8080368642345634;6.758461955993593;9.221541156884586;2.4300760576703255
GUAINÍA;2020;5.570859933977519;0.066200390694723;2.0413067235233933;4.719598524603663;4.02739662039494;2.384259741264274;1.412910529592807;3.26926922709331;5.309489804955188;1.1686003123145732;1.1702471734814521;0.0;0.0
GUAVIARE;2020;6.093366219962536;4.727152006289089;2.573677905977023;4.608211720102028;5.966575736393951;5.057380255710696;1.538258911598454;4.7035621515541575;6.515849220303039;1.5884406175111376;2.4897743725978088;1.6895677314660529;0.00535488250708031
HUILA;2020;4.840202216406555;5.315996738922237;3.368114705695352;5.674533289965393;7.224162461139789;7.153084068325049;2.9654823945377573;4.874593050391255;4.999718830978451;3.4639496269757064;5.1489340375694495;5.602082419692465;2.064899191133674
LA GUAJIRA;2020;3.686873374599762;5.42379211438551;1.7102219318156353;6.523235686181984;5.210388375746573;4.50165186862879;1.449001222898184;4.156706354325279;4.615237001006765;0.6895008567211569;6.1949215462952845;4.36469366260552;2.0379453149547024
MAGDALENA;2020;5.34235548204555;5.619072774584129;2.9581494606061423;4.749795465589034;6.040411072072653;4.877869523924261;3.6962935789518707;5.5511076767353185;5.116192768169734;1.7266723756579072;5.488274191166827;8.110023742436933;2.0140120411725957
META;2020;5.298520932923253;5.0684934889952125;3.3625851175086625;4.4394889718328265;6.707894097325009;6.584632811178533;3.402647405611632;5.922271200067469;6.1824858096605375;1.8972441115585859;5.705549419563272;3.7304447323581416;1.8776668166402286
NARIÑO;2020;4.992078032285212;5.302645847449239;2.5273900357490797;5.897851461540363;6.2166298164663845;6.412557299962839;2.784060657434692;4.520356019058648;5.148999314824877;2.030778149822956;4.956009264527945;8.075074640078203;1.8820237628018002
NORTE DE SANTANDER;2020;5.087221684024068;5.503645499014392;4.095977726619793;3.6085274110261945;6.360785880511678;6.996533354585923;3.625562457156357;4.913307610161169;4.207969733104174;2.5021767149391936;5.102112950175918;8.296115236495789;2.861154905276927
PUTUMAYO;2020;4.456232050183964;4.017662339431891;1.5644311448001644;6.768025416772918;6.062138190985536;5.666604867014042;1.5280873759499927;4.454982846727074;6.0650790984377725;1.2438588953784286;5.315153501592836;1.9469229957844658;0.2914100405877403
QUINDÍO;2020;6.198554609810189;4.708145901846289;4.306442494156819;4.215915715099011;7.558063144448518;7.5972605681517535;5.249220692413909;5.728979218279098;5.546886493551582;3.331403010930521;4.7439845916448675;4.9401961174617535;3.7175324125753155
RISARALDA;2020;6.002702443915861;4.453974385999796;5.848868267635378;4.6978917620888705;7.142440493434639;7.1467738858870655;5.050985780834201;6.708424023855386;7.138782788088356;3.698440372458603;5.444518957727729;8.449440682196377;4.399581494092794
ARCHIPIÉLAGO DE SAN ANDRÉS;2020;5.171617745978811;1.640372814843932;3.114666296026633;5.309217086632958;6.978835684428141;6.411971920732769;5.611417341345177;6.443544367577588;8.748634957407333;2.8309122717124504;2.5189437863334136;7.688675205756514;1.2588595064434336
SANTANDER;2020;5.270089008899496;5.40724698403544;5.099901779592533;5.852342831321124;7.168897654720593;7.866062185503088;5.875137621975416;6.303662409102204;6.123450557753053;2.9783191776024998;6.0865518994558965;7.912296616386869;3.550228499656199
SUCRE;2020;4.967385989016148;4.785270168340583;2.1560685780637225;4.423323966904864;7.451483107571425;5.866689331799149;2.3819740252716324;4.580820093477123;4.7111345858888924;1.2216130046842653;5.6233140438329965;3.8613915609703904;2.466686349739124
TOLIMA;2020;4.956351375679997;5.240472532181981;4.482235485494669;5.391028240079595;6.87748153753407;6.93156819453135;4.046272411301242;4.83445787754251;5.162017000365192;2.759979184260163;5.026804871432527;7.082578772525602;2.4046852889379364
VALLE DEL CAUCA;2020;6.033090832000729;5.827775341892164;4.716984798170748;5.36762431926205;7.731200811000335;5.830965073874596;4.75831643071279;7.162925572046392;6.2015578248566126;3.755403842347866;6.768818507463559;9.624737851623024;3.5346573884652455
VAUPÉS;2020;4.996045932308603;0.15470418761101093;0.3118261869566401;4.8557141732790825;3.82413911082182;1.6653561581352587;1.0512773964998392;2.196663201814643;6.4533556142730575;0.6159714676961352;1.45674222106607;8.332226397123211;0.04538457149309082
VICHADA;2020;4.485422752430012;0.06993085311417371;0.7871560724879578;4.7977332203868635;3.014856321092132;2.1282207423168744;1.3699407031886146;4.198564357487948;5.383690908786203;0.6205810567764605;2.138417181443315;0.0;0.5734694739495629
