Codigo_DIVIPOLA|Departamento|Sector|Tipo_registro|Año|Estado_dato|Valor_miles_millones_COP|Unidad|Fuente
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2006|Definitivo|3619.42418157404|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2007|Definitivo|3969.46522035628|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2008|Definitivo|4030.46064611504|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2009|Definitivo|4279.3050982755|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2010|Definitivo|4355.89776643702|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2011|Definitivo|4681.24934082544|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2012|Definitivo|4639.97699612707|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2013|Definitivo|4930.75185077631|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2014|Definitivo|5298.21812366198|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2015|Definitivo|6153.06232861666|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2016|Definitivo|7413.7796575374|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2017|Definitivo|7477.77557173816|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2018|Definitivo|7959.6039008398|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2019|Definitivo|8918.46413279222|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2020|Definitivo|9744.50285296852|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2021|Definitivo|12255.0742461794|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2022|Definitivo|16777.1438707305|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2023|Definitivo|18041.5172966189|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
5|Antioquia|Agricultura, ganadería, caza, silvicultura y pesca|Actividad económica|2024|Provisional|21054.2359811543|Miles de millones de pesos corrientes|DANE - Cuentas nacionales departamentales
