nombre_entidad;anio;pct_pet;fuerza_trabajo;fuerza_trabajo_potencial;desocupados;pet;fuera_fuerza_trabajo;ocupados;subocupados;poblacion_total_geih;tgp;td;to;ts
SANTA MARTA;2009;70.54323634228601;183.94582727;0.0;18.135358725666666;275.54;91.59417273066667;165.81046854333331;27.35061804733333;390.5973333333333;66.75830270378165;9.859075900127467;60.17655097021605;14.868843970669394
SANTA MARTA;2010;70.7711745186447;184.24433333333332;0.0;19.046;281.381;97.13666666666666;165.198;15.805;397.5926666666667;65.47859782051145;10.337359991171144;58.709720983293124;8.578282823714163
SANTA MARTA;2011;71.00421273052541;188.06233333333333;0.0;18.257;287.09133333333335;99.029;169.80566666666667;19.326333333333334;404.33;65.50609910435006;9.707951441631943;59.14691491906176;10.276557240773007
SANTA MARTA;2012;71.26291795778647;197.182;0.0;19.584;292.83833333333337;95.65633333333334;177.59799999999998;21.527;410.9266666666667;67.3347637775109;9.931941049385847;60.6471147333853;10.917325110811332
SANTA MARTA;2013;71.56164182286705;195.221;0.0;18.558333333333334;298.72;103.49900000000001;176.66266666666664;24.170666666666666;417.4303333333334;65.3525040171398;9.50632018754813;59.139885734690225;12.381181669321776
SANTA MARTA;2014;71.88812806223115;199.63733333333334;0.0;21.661666666666665;304.59766666666667;104.96033333333332;177.9753333333333;27.259;423.71066666666667;65.54132062731932;10.85050892284676;58.42964435052577;13.654259724300063
SANTA MARTA;2015;72.29887612428232;201.496;0.0;19.282;311.164;109.66799999999999;182.21366666666665;26.418333333333333;430.38566666666674;64.75556298286435;9.569420732917774;58.55872358841854;13.111095671047233
SANTA MARTA;2016;72.59516487329995;192.10733333333334;0.0;16.189666666666668;317.969;125.86166666666668;175.9176666666667;20.096;438.003;60.417000818738096;8.427406901003257;55.32541432236058;10.460818778391246
SANTA MARTA;2017;73.44341070944164;199.19266666666667;0.0;15.104999999999999;328.4986666666667;129.306;184.088;19.576999999999998;447.28133333333335;60.637283154878354;7.583110489341976;56.03919244725498;9.828173058579798
SANTA MARTA;2018;74.65500087067164;210.538;0.0;17.457666666666668;344.4056666666666;133.86766666666665;193.08066666666664;18.210333333333335;461.3296666666667;61.1308176307591;8.29193146447039;56.061988914235826;8.649428290063236
