nombre_entidad;anio;indice_competitividad
NARIÑO;2025;4.781121583626749
NORTE DE SANTANDER;2025;5.318832718553061
PUTUMAYO;2025;3.8347609518140606
QUINDÍO;2025;5.854824031112776
RISARALDA;2025;6.202395195738687
ARCHIPIÉLAGO DE SAN ANDRÉS;2025;5.331200713858496
SANTANDER;2025;6.279373898778085
SUCRE;2025;4.41983109845029
TOLIMA;2025;5.576284653903391
VALLE DEL CAUCA;2025;6.290566010117128
VAUPÉS;2025;3.3759496288739275
VICHADA;2025;2.5690276602079907
AMAZONAS;2026;3.4283397042146206
ANTIOQUIA;2026;6.904865618638186
ARAUCA;2026;4.3889683301011715
ATLÁNTICO;2026;6.223097994396122
BOGOTÁ, D.C.;2026;7.95601896957481
BOLÍVAR;2026;5.605149763766181
BOYACÁ;2026;5.789814763863189
CALDAS;2026;6.021047285113741
CAQUETÁ;2026;4.570959383698913
CASANARE;2026;5.076268172924491
CAUCA;2026;4.944527969371138
CESAR;2026;4.825807212641153
CHOCÓ;2026;3.698431867351996
CÓRDOBA;2026;4.717225325428492
CUNDINAMARCA;2026;6.1368085457449855
GUAINÍA;2026;3.345145900469113
GUAVIARE;2026;3.8006625550574364
HUILA;2026;5.215961676443161
LA GUAJIRA;2026;4.373265538615913
MAGDALENA;2026;5.06451970583572
META;2026;5.077573188398756
NARIÑO;2026;4.746467157858379
NORTE DE SANTANDER;2026;5.388071637462472
PUTUMAYO;2026;3.9624393569777796
QUINDÍO;2026;5.992374240011761
RISARALDA;2026;6.35477568766945
ARCHIPIÉLAGO DE SAN ANDRÉS;2026;5.173312566798723
SANTANDER;2026;6.319682986468993
SUCRE;2026;4.448161844159862
TOLIMA;2026;5.542973889185044
VALLE DEL CAUCA;2026;6.426939331443785
VAUPÉS;2026;2.808453735665383
VICHADA;2026;2.915603913761032
