nombre_entidad;anio;indice_competitividad
VILLAVICENCIO;2019;4.365497149112535
VILLAVICENCIO;2020;4.357009507645612
VILLAVICENCIO;2021;4.222172853081375
VILLAVICENCIO;2022;4.585445061626291
VILLAVICENCIO;2023;4.713844532063965
VILLAVICENCIO;2024;4.684398757141434
VILLAVICENCIO;2025;4.7613477441591705
YOPAL;2019;4.358842280233298
YOPAL;2020;4.347447689656111
YOPAL;2021;4.262380773499625
YOPAL;2022;4.2260006979764535
YOPAL;2023;4.643588098769685
YOPAL;2024;4.861727911634101
YOPAL;2025;4.8293582031503375
